T (°C),ΔT (K),ΔL (0.001 in),ΔL (m),ΔL (mm)
27,4.0,1,2.54e-05,0.025400000000000002
28,5.0,2,5.08e-05,0.050800000000000005
30,7.0,3,7.620000000000001e-05,0.0762
31,8.0,4,0.0001016,0.10160000000000001
32,9.0,5,0.000127,0.127
33,10.0,6,0.00015240000000000002,0.1524
34,11.0,7,0.0001778,0.1778
35,12.0,8,0.0002032,0.20320000000000002
36,13.0,9,0.0002286,0.2286
37,14.0,10,0.000254,0.254
39,16.0,11,0.0002794,0.27940000000000004
40,17.0,12,0.00030480000000000004,0.3048
41,18.0,13,0.0003302,0.3302
43,20.0,14,0.0003556,0.3556
46,23.0,15,0.000381,0.381
